ALPH,Main,Season 1,Durham Durants,Qwilfish,Drampa
ALPH,Main,Season 1,Durham Durants,Donphan,Metagross
ALPH,Main,Season 1,Bravo Braviarys,Raichu,Electivire
ALPH,Main,Season 1,Bravo Braviarys,Shiftry,Braviary
ALPH,Main,Season 1,Bravo Braviarys,Mandibuzz,Alakazam
ALPH,Main,Season 1,Primarina Sonata,Zebstrika,Probopass
ALPH,Main,Season 1,Primarina Sonata,Chesnaught,Kommo-o
ALPH,Main,Season 1,St. Louis Excadrills,Jolteon,Slowbro
Cascade Draft League,East Shellos,Season 4,Bobaffet's Syndicate,Piloswine,Doublade
Cascade Draft League,East Shellos,Season 4,The Stockpile Crusaders,Tauros,Clefairy
Cascade Draft League,East Shellos,Season 4,Guardian Glaceons,Crobat,Marowak-Alola
Cascade Draft League,East Shellos,Season 4,Vegas Night Marchers,Audino,Stoutland
Cascade Draft League,East Shellos,Season 4,Tahiti Tailslappers,Sawsbuck,Haxorus
Cascade Draft League,East Shellos,Season 4,Spheal With It,Serperior,Azumarill
Cascade Draft League,East Shellos,Season 4,Spheal With It,Tentacruel,Whimsicott
Cascade Draft League,East Shellos,Season 4,Spheal With It,Diggersby,Sandslash-Alola
Cascade Draft League,East Shellos,Season 4,Manaphy's Incompetent Squad,Yanmega,Mothim
Cascade Draft League,East Shellos,Season 4,Toronto Raticates,Raticate-Alola,Raticate
Cascade Draft League,East Shellos,Season 4,Guardian Glaceons,Claydol,Hitmontop
Cascade Draft League,East Shellos,Season 4,Bobaffet's Syndicate,Marowak-Alola,Celebi
Cascade Draft League,East Shellos,Season 4,Bobaffet's Syndicate,Granbull,Garbodor
Cascade Draft League,East Shellos,Season 4,San Francisco Brandons,Latias-Mega,Gardevoir-Mega
Cascade Draft League,East Shellos,Season 4,San Francisco Brandons,Vaporeon,Crobat
Cascade Draft League,East Shellos,Season 4,San Francisco Brandons,Comfey,Jellicent
Cascade Draft League,Main,Season 3,Elk Grove Exploud,Espeon,Uxie
Cascade Draft League,Main,Season 3,Florida Froslass,Swellow,Honchkrow
Cascade Draft League,Main,Season 3,Florida Froslass,Slowbro,Cloyster
Cascade Draft League,Main,Season 3,Pakd Machamps,Meloetta,Ditto
Cascade Draft League,Main,Season 3,DC Darmanitans,Rotom-Mow,Electivire
Cascade Draft League,Main,Season 3,Florida Froslass,Pinsir-Mega,Steelix-Mega
Cascade Draft League,Main,Season 3,Vegas Night Marchers,Magneton,Escavalier
Cascade Draft League,Main,Season 3,Claremont Saws,Latios,Excadrill
Cascade Draft League,Main,Season 3,Claremont Saws,Nidoqueen,Sylveon
Cascade Draft League,Main,Season 3,Sacramento Nidokings,Garbodor,Avalugg
Cascade Draft League,Main,Season 3,The Arctic Mankeys,Aerodactyl-Mega,Altaria-Mega
Cascade Draft League,Main,Season 3,Friendship Is Magic,Beedrill-Mega,Aerodactyl-Mega
Cascade Draft League,Main,Season 3,Friendship Is Magic,Tyrantrum,Sandslash-Alola
Cascade Draft League,Main,Season 3,The Duffled Bags,Alakazam-Mega,Gallade-Mega
Cascade Draft League,Main,Season 3,The Duffled Bags,Virizion,Tangrowth
Cascade Draft League,Main,Season 3,Vegas Night Marchers,Toxicroak,Whimsicott
Cascade Draft League,Main,Season 3,The Steamed Hams,Porygon-Z,Roserade
Cascade Draft League,Main,Season 3,Seattle Sceptiles,Blastoise,Vaporeon
